run,dataset,scenario_id,correct_diagnosis,final_diagnosis,is_correct,primary_error,secondary_flags,total_turns,n_tests,turn_at_diagnosis
baseline_gpt4omini/medqa,MedQA,MedQA_0000,Myasthenia gravis,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0001,Progressive multifocal encephalopathy (PML),(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0002,Hirschsprung disease,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0003,Diffuse large B-cell lymphoma,DIAGNOSIS READY: Lymphoma,True,correct,never_requested_test,20,0,20
baseline_gpt4omini/medqa,MedQA,MedQA_0004,Acute interstitial nephritis,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0005,Pes anserine bursitis,DIAGNOSIS READY: Patellar tendinopathy (jumper's knee).,False,incorrect_other,never_requested_test,20,0,20
baseline_gpt4omini/medqa,MedQA,MedQA_0006,Situational syncope,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0007,Congenital Rubella Infection,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0008,Phyllodes tumor,"DIAGNOSIS READY: Benign breast mass (likely a fibroadenoma or cyst, pending biopsy results).",False,incorrect_other,never_requested_test,20,0,20
baseline_gpt4omini/medqa,MedQA,MedQA_0009,Endometritis,(no diagnosis issued),False,no_diagnosis,"late_correct_mention,never_requested_test",20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0010,Hemorrhoids,(no diagnosis issued),False,no_diagnosis,"late_correct_mention,never_requested_test",20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0011,Complex partial seizure,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0012,Posterior hip dislocation,"I understand your concerns about returning to your active role as a teacher. Given the posterior dislocation of your right hip and the associated pain and limitations, it's crucial to follow a rehabilitation plan to regain strength and mobility. 

DIAGNOSIS READY: Posterior dislocation of the right hip.",True,correct,never_requested_test,20,0,20
baseline_gpt4omini/medqa,MedQA,MedQA_0013,Hirschsprung’s disease,"Based on the symptoms you've described, including bilious vomiting, abdominal distension, and the inability to pass meconium since birth, I suspect the infant may have a condition known as meconium ileus, which is often associated with cystic fibrosis. However, I will need to confirm this with further testing. 

DIAGNOSIS READY: Meconium Ileus.",False,incorrect_other,never_requested_test,20,0,20
baseline_gpt4omini/medqa,MedQA,MedQA_0014,Rupture of the flexor digitorum profundus tendon at its point of insertion,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0015,Epidermoid cyst,DIAGNOSIS READY: Epidermoid cyst.,True,correct,never_requested_test,20,0,20
baseline_gpt4omini/medqa,MedQA,MedQA_0016,C. difficile colitis,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
baseline_gpt4omini/medqa,MedQA,MedQA_0017,Pyoderma gangrenosum,"Based on your symptoms, history of Crohn's disease, and the characteristics of the ulcer, it appears that you may be experiencing pyoderma gangrenosum, which can occur in patients with inflammatory bowel disease. DIAGNOSIS READY: Pyoderma Gangrenosum.",True,correct,never_requested_test,20,0,20
baseline_gpt4omini/medqa,MedQA,MedQA_0018,Uterine rupture,(no diagnosis issued),False,no_diagnosis,never_requested_test,20,0,
